*ItemID,*ItemName,*Price,*CategoryName,AvailabilitySchedule,*AvailableStatus,Description,Photo1,Photo2,Photo3,Photo4,OptionGroup1,OptionGroup2,OptionGroup3,OptionGroup4,OptionGroup5,StoreID
THITE2024041801482224017,ชาพีช,56,ชาผลไม้,All opening hours,AVAILABLE,"ชาพีชหวานหอม, รสชาติละมุน, ส่งตรงถึงมือคุณ!",https://food-cms.grab.com/item/THITE2024041801482224017/photos/menueditor_item_ff690df0482a4b9abd3d9bec59688eae_1727746877972609368.jpeg,,,,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,,,3-C6J1BCNXTYKTLX
THITE2025070301062095896,ส้มปั่น แก้วใหญ่ 22 ออนซ์,49,ผลไม้ปั่น & สมูทตี้,All opening hours,AVAILABLE,ส้มปั่นเนื้อเนียน ข้น สีส้มสด รสชาติเปรี้ยวหวานสดชื่น ดื่มง่าย สดชื่นทุกอึก,https://food-cms.grab.com/item/THITE2025070301062095896/photos/menueditor_item_ef61b45a4069455496d859a0b524735b_1772786996347920955.jpg,,,,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,,,,3-C6J1BCNXTYKTLX
THITE2025031410255226364,0% แคล ชาน้ำผึ้งมะนาว,27,0% แคล ชาเพื่อสุขภาพ,All opening hours,AVAILABLE,รสเปรี้ยวสดชื่นจากมะนาวแท้ ผสมกับน้ำผึ้งหอมหวานและชาใส ไม่มีแคลอรี่ ดื่มง่าย สดชื่นตลอดวัน,https://food-cms.grab.com/item/THITE2025031410255226364/photos/menueditor_item_68bb4eb8b9ed4888934bfce59d02a37d_1741947894120862621.jpg,,,,ช็อตมะนาว##1-1##ไม่เพิ่ม:0#เพิ่ม 1 ช็อต:11,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,,3-C6J1BCNXTYKTLX
THITE2024040707225137437,โกโก้ (เย็น/ปั่น),34,"Signature Drinks (เย็น, ปั่น)",All opening hours,AVAILABLE,"โกโก้เข้มข้น, ปลุกความสดชื่น, สั่งเลย!",https://food-cms.grab.com/item/THITE2024040707225137437/photos/menueditor_item_34a9d57f618148fb939255a02268a2a7_1772790982789488195.jpg,,,,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):18,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,,3-C6J1BCNXTYKTLX
THITE2024042114222935612,ชาไทยชีส (เย็น/ปั่น),63,"Signature Drinks (เย็น, ปั่น)",All opening hours,AVAILABLE,"ชาไทยผสมชีสครีม, หวานหอมเข้มข้น, สั่งได้ง่ายผ่านแอพ!",https://food-cms.grab.com/item/THITE2024042114222935612/photos/menueditor_item_f704e05b79054efd9db0436f78f3fa8d_1772790045312370905.jpg,,,,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):18,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,,3-C6J1BCNXTYKTLX
THITE2025031615104196908,0% แคล ชามะลิ,27,0% แคล ชาเพื่อสุขภาพ,All opening hours,AVAILABLE,หอมกลิ่นมะลิอ่อนๆ ให้ความรู้สึกผ่อนคลาย ดื่มง่าย ไม่มีน้ำตาลและแคลอรี่ หวานธรรมชาติ เหมาะกับทุกช่วงเวลา,https://food-cms.grab.com/item/THITE2025031615104196908/photos/menueditor_item_8761b5d41005498daefaccefdf305051_1742137796109008291.jpg,,,,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์:15#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:23#ซอสบราวน์:23#ช็อคขูด:26#ชีส:37,,,3-C6J1BCNXTYKTLX
THITE2025071208321337950,นมสดมันม่วง,56,"นม (เย็น, ปั่น)",All opening hours,AVAILABLE,นมสดหอมมัน ผสมกับมันม่วงแท้ รสหวานละมุน กลิ่นหอมอ่อน ๆ ดื่มง่าย สดชื่น สีม่วงสวยไม่ซ้ำ เพิ่มความสนุกในทุกแก้ว พร้อมส่งตรงถึงคุณ.,https://food-cms.grab.com/item/THITE2025071208321337950/photos/menueditor_item_55c14e96755f4f938091b83900bce727_1772948154177223680.jpg,,,,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):18,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,,3-C6J1BCNXTYKTLX
THITE2025071208272094748,ชานมมันม่วง,56,"ชานม (เย็น, ปั่น)",All opening hours,AVAILABLE,ชานมรสนุ่ม กลมกล่อม สอดแทรกความหอมหวานของมันม่วงแท้ เพิ่มมิติใหม่ให้การดื่มชา อร่อย ละมุน สดชื่น สีสวยไม่ซ้ำใคร ดื่มเพลินทุกเวลา ส่งตรงถึงมือคุณ.,https://food-cms.grab.com/item/THITE2025071208272094748/photos/menueditor_item_e9682a2b86d34e29b1082af40cf44c34_1772893734102695960.jpg,,,,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,,,3-C6J1BCNXTYKTLX
THITE2024040707292383933,ชาดำเย็น,27,ชา,All opening hours,AVAILABLE,"ชาดำเย็นสดชื่น, เข้มข้นทุกคำ, จัดส่งไวไม่ต้องรอ!",https://food-cms.grab.com/item/THITE2024040707292383933/photos/menueditor_item_f371f4b028154e29922e8ec65e542ba4_1772810276091629053.jpg,,,,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:11,,,3-C6J1BCNXTYKTLX
THITE2025030203221737606,กาแฟสด แฟลตไวท์ (Flat White) เย็น 16 ออนซ์,50,* กาแฟสดนมนุ่มละมุน,All opening hours,AVAILABLE,แฟลตไวท์เย็น – กาแฟเอสเปรสโซ่เข้มข้น ผสมกับนมสดที่มีเนื้อสัมผัสเนียนนุ่ม แต่ใช้นมน้อยกว่าลาเต้ ให้รสชาติของกาแฟเด่นชัดขึ้น ในขณะที่ยังคงความละมุนของนม เหมาะสำหรับคอกาแฟที่ต้องการรสชาติกลมกล่อมแต่เข้มข้นกว่าลาเต้,https://food-cms.grab.com/item/THITE2025030203221737606/photos/menueditor_item_5b04178282f04d408d0f7ad27c096e47_1740885700962564475.jpg,,,,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:8#ไข่มุก:8#วุ้นกบไต้หวัน:9#เฉาก๊วยหนึบเนื้อแน่น:15#บุกน้ำตาล:15#บุกน้ำผึ้ง:15#บุกบราวน์ชูก้า:15#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์ชูก้า:23#ช็อคขูด:26#ชีส:37,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ:14,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,,,3-C6J1BCNXTYKTLX
