*ItemID,*ItemName,*Price,OptionGroup1,OptionGroup2,OptionGroup3,OptionGroup4,OptionGroup5,StoreID
THITE2025031015005084849,กาแฟสดโซดา เอสเปรสโซ่บ๊วย เย็น 16 ออนซ์,32,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,,3-C6J1BCNXTYKTLX
THITE2025081608253288439,ชิโอปัง (Shio Pan) โฮมเมด ใหญ่ขึ้น,20,ชิโอปัง เพิ่มไส้พิเศษ##1-1##ไม่เพิ่ม:0#ช็อคโกแลต:5#วนิลา:5#ชีส:25#สตรอเบอรี่:5#บลูเบอรี่:5#ส้ม:5,โปรโมชั่น ชิโอปัง##1-1##สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน:19#ไม่เพิ่ม:0,,,,3-C6J1BCNXTYKTLX
THITE2024041801552319145,ชาพีชส้มยูสุ,70,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,,3-C6J1BCNXTYKTLX
THITE2025031216164357806,นมร้อน 12 ออนซ์,24,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,,,,3-C6J1BCNXTYKTLX
THITE2025091712415541662,ชาอู่หลงน้ำผึ้งมะนาว,29,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,,3-C6J1BCNXTYKTLX
THITE2025070506164520452,(สมูทตี้) มะม่วง แก้วใหญ่ 22 ออนซ์,69,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,,,,3-C6J1BCNXTYKTLX
THITE2025041914183022301,บุกน้ำตาล,13,,,,,,3-C6J1BCNXTYKTLX
THITE2024040707283813818,ชาเขียวมะลิ,24,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,,3-C6J1BCNXTYKTLX
THITE2025030203155620292,กาแฟสด ลองแบล็ค เย็น 16 ออนซ์,37,ขนาด ปริมาณ แก้วกาแฟ##1-1##แก้วมาตรฐาน:0#แก้วใหญ่ 22oz เข้ม +1 ช๊อต ซีลแน่น:12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,,3-C6J1BCNXTYKTLX
THITE2025071208272094748,ชานมมันม่วง,49,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,,3-C6J1BCNXTYKTLX
THITE2025061205575822050,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,19,,,,,,3-C6J1BCNXTYKTLX
THITE2025052911300384543,น้ำเต้าหู้โกโก้ (เย็น/ปั่น),29,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2025030203520684151,กาแฟสด Espresso (เอสเปรสโซ่) ร้อน 12 ออนซ์,37,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,,,,3-C6J1BCNXTYKTLX
THITE2024040707263973803,นมสดไข่มุกบราวน์ชูการ์ (เย็น/ปั่น),29,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2025022802352904031,กาแฟสด ลาเต้ เย็น 16 ออนซ์,45,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,,,3-C6J1BCNXTYKTLX
THITE2025031014552562150,กาแฟสดโซดา เอสเปรสโซ่เสาวรส เย็น 16 ออนซ์,32,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,,3-C6J1BCNXTYKTLX
THITE2024041801482224017,ชาพีช,49,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,,3-C6J1BCNXTYKTLX
THITE2025071208361503136,(สมูทตี้) มันม่วง แก้วใหญ่ 22 ออนซ์,59,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,,,,3-C6J1BCNXTYKTLX
THITE2024040707221309972,นมสดเย็น (เย็น/ปั่น),29,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2024040717420086096,สตรอว์เบอร์รีโซดา,22,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,,3-C6J1BCNXTYKTLX
THITE2024040710343875816,ชานมชีส (เย็น/ปั่น),49,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2024040707202281144,นมสดเผือก (เย็น/ปั่น),49,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2025031410255226364,0% แคล ชาน้ำผึ้งมะนาว,24,ช็อตมะนาว##1-1##ไม่เพิ่ม:0#เพิ่ม 1 ช็อต:5,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2026030810483894399,เค้กกล้วยหอม โฮมเมด,15,โปรโมชั่น เค้กกล้วยหอม##1-1##สุดคุ้ม เพิ่มอีก 1 ชิ้นแบบเดียวกัน:12#ไม่เพิ่ม:0,,,,,3-C6J1BCNXTYKTLX
THITE2025030203221737606,กาแฟสด แฟลตไวท์ เย็น 16 ออนซ์,45,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,,,3-C6J1BCNXTYKTLX
THITE2024040707325415876,ชาสตรอว์เบอร์รี,24,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,,3-C6J1BCNXTYKTLX
THITE2024040707214483215,นมมรกต (เย็น/ปั่น),37,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2025031410215706264,0% แคล ชาพีช,24,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,,,3-C6J1BCNXTYKTLX
THITE2025051306313953891,มัทฉะมะพร้าวนม,55,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ช็อตมัทฉะ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตมัทฉะ 1 กรัม:8#เพิ่มช็อตมัทฉะ 2 กรัม:15,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,3-C6J1BCNXTYKTLX
THITE2025031615093192911,0% แคล ชาฟรุตพันช์,24,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,,,3-C6J1BCNXTYKTLX
THITE2024040710315731824,ชานมไข่มุก (เย็น/ปั่น),29,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2025030517370006186,กาแฟสด คาราเมลมัคคิอาโต้ เย็น 16 ออนซ์,45,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,กาแฟ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตกาแฟ 1 ช็อต:13#เพิ่มช็อตกาแฟ 2 ช็อต:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2024040717440019808,มะนาวโซดา,27,ช็อตมะนาว##1-1##ไม่เพิ่ม:0#เพิ่ม 1 ช็อต:5,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2024040710371374638,ชานมไข่มุกบราวน์ชูการ์ (เย็น/ปั่น),49,ประเภท##1-1##เย็น:0#ปั่น (สูตรเข้ม):12,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
THITE2025041911581296670,มัทฉะครีมชีส (Matcha Cheese Tea),59,ช็อตมัทฉะ##1-1##ไม่เพิ่ม:0#เพิ่มช็อตมัทฉะ 1 กรัม:8#เพิ่มช็อตมัทฉะ 2 กรัม:15,ท็อปปิ้ง##1-12##ไม่เพิ่ม:0#เจลลี่ผลไม้:5#ไข่มุก:5#วุ้นกบไต้หวัน:8#เฉาก๊วยหนึบเนื้อแน่น:12#บุกน้ำตาล:12#บุกน้ำผึ้ง:12#บุกบราวน์:12#อโลเวร่าในน้ำองุ่นขาว:23#ซอสบราวน์:19#ช็อคขูด:19#ชีส:25#วุ้นว่านหางจระเข้ หั่นลูกเต๋า:19,ความหวาน##1-1##ไม่หวาน 0%:0#หวานน้อยมาก 25%:0#หวานน้อย 50%:0#หวานปกติ 100%:0#หวานมาก 125%:0#หวานมาก 150%:0#หวานมาก 200%:0,แยกน้ำแข็ง##0-1##แยกน้ำแข็ง:3,,3-C6J1BCNXTYKTLX
