รหัสร้านค้า/สาขา,ชื่อร้านค้า,รหัสหมวดหมู่,ชื่อหมวดหมู่,รหัสเมนูอาหาร,ชื่อเมนูอาหาร,ราคา (฿),สถานะการแสดงเมนูที่หน้าร้านค้า,สถานะสต็อกสินค้า,สต็อก,สต็อกคงเหลือ,เติมจำนวนสต็อกอัตโนมัติทุกวัน,เติมสต็อกเป็นจำนวน,รายละเอียดเมนู,เวลาเปิดขายเมนู,วันที่ขาย,ช่วงเวลาที่ขาย,กลุ่มตัวเลือกเสริม,รูปภาพ,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2035912587911168""","Signature Drinks (เย็น, ปั่น)","=""2035926352093184""",ชานมไข่มุกบราวน์ชูการ์ (เย็น/ปั่น),75,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชานมหวานมันกับไข่มุกและบราวน์ชูการ์, ส่งไวไม่ต้องรอ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztk-mlhm7gxfrojld4,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2035912587911168""","Signature Drinks (เย็น, ปั่น)","=""2035929394717184""",โกโก้สตรอว์เบอร์รี (เย็น/ปั่น),47,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"โกโก้เข้มข้นผสมสตรอว์เบอร์รี, หวานอมเปรี้ยว, สั่งจัดส่ง!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztn-mliv21h2h9fo3f,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2035912587911168""","Signature Drinks (เย็น, ปั่น)","=""2035955801760256""",ชาไทยชีส (เย็น/ปั่น),64,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาไทยผสมชีสครีม, หวานหอมเข้มข้น, สั่งได้ง่ายผ่านแอพ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztp-mlhmzrwakr2bd5,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2035912587911168""","Signature Drinks (เย็น, ปั่น)","=""2035956504945152""",โกโก้มิ้นต์ (เย็น/ปั่น),57,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"โกโก้หอมมิ้นต์เย็นสดชื่น, ลิ้มลองได้ทุกที่!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztf-mlhng7fjgv0k72,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2035912587911168""","Signature Drinks (เย็น, ปั่น)","=""2035957223202816""",กาแฟโบราณ บราวน์ชูการ์ (เย็น/ปั่น),55,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"กาแฟโบราณหวานกลมกล่อม, หอมบราวน์ชูการ์, ส่งถึงมือ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztm-mliv2lesq51d80,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2035912587911168""","Signature Drinks (เย็น, ปั่น)","=""2035963095818240""",ชาเขียวนม (เย็น/ปั่น),42,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาเขียวนมสด, รสชาติเข้มข้นหอมละมุน, จัดส่งได้ทุกที่!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztq-mlhn95u4vw1w85,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2035912587911168""","Signature Drinks (เย็น, ปั่น)","=""2035950934172160""",โกโก้ (เย็น/ปั่น),42,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"โกโก้เข้มข้น, ปลุกความสดชื่น, สั่งเลย!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztk-mlhnjqqit05df2,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2035912587911168""","Signature Drinks (เย็น, ปั่น)","=""2970522469726208""",โกโก้ลาวาช็อกขูด (เย็น/ปั่น),64,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,โกโก้เข้มข้น ท็อปด้วยช็อกโกแลตแท้ขูดสดพูนแก้ว ให้สัมผัส Double Texture ทั้งความนุ่มละมุนและเคี้ยวกรุบกรอบ ช๊อคโกแลตลาวา,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2619418001578496#2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81zto-mkz5hz0u6n0k90,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2035912587911168""","Signature Drinks (เย็น, ปั่น)","=""2035962409689088""",ชานมชีส (เย็น/ปั่น),55,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชานมผสมชีสครีม, ความลงตัวของความหอมหวาน, สั่งพร้อมส่ง!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2619418001578496,https://mms.img.susercontent.com/th-11134505-81ztg-mliv2ysst98vae,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2943523158783488""","ชานมสดคราฟต์ (เย็น, ปั่น)","=""2944861680138240""",ชาจัสมินฝูเจี้ยน (เย็น/ปั่น) 16 oz,42,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,ชามะลิฝูเจี้ยนน็อคสดวันต่อวัน ดึงกลิ่นหอมพุ่งด้วยเทคนิคพิเศษ ผสมนมสดแท้ 100% รสสัมผัสนุ่มนวล ละมุนทุกคำ,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2619418001578496#2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81ztm-mkambcj34u1267,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2016371521969152""",ชา,"=""2748382045219328""",ชาอู่หลงเย็น,26,แสดงเมนู,งดจำหน่าย,ไม่จำกัด,,,,ชาอู่หลงหอมเข้ม คัดใบชาคุณภาพ ดื่มเย็นสดชื่น คลายร้อนในทุกช่วงเวลา,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81ztn-mer6bjuktwxuc6,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2016371521969152""",ชา,"=""2748383136392704""",ชาอู่หลงน้ำผึ้ง,34,แสดงเมนู,งดจำหน่าย,ไม่จำกัด,,,,ความหอมหวานจากน้ำผึ้งแท้ ผสมกับชาอู่หลงชั้นดี รสกลมกล่อม สดชื่นอย่างลงตัว,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81ztm-mer6azynwef97c,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2016371521969152""",ชา,"=""2748385436329472""",ชาอู่หลงน้ำผึ้งมะนาว,34,แสดงเมนู,งดจำหน่าย,ไม่จำกัด,,,,ผสานความหอมหวานของน้ำผึ้งและความเปรี้ยวสดชื่นจากมะนาว เข้ากับชาอู่หลงคุณภาพ สดชื่นในแก้วเดียว,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81ztp-mer6eys3x4hv96,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2016371521969152""",ชา,"=""2035973480783872""",ชาดำเย็น,26,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาดำเย็นสดชื่น, เข้มข้นทุกคำ, จัดส่งไวไม่ต้องรอ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81ztq-mlhyzj6u65mw8a,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2016371521969152""",ชา,"=""2035974334947328""",ชาเขียวมะลิ,26,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาเขียวมะลิ, หอมอ่อนโยน, เติมความสุขให้วันของคุณ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81ztj-mljc48nj2juo56,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2016371521969152""",ชา,"=""2035976159748608""",ชาสตรอว์เบอร์รี,26,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาสตรอว์เบอร์รีสดใส, รสชาติซ่าหวาน, สั่งเลย, ส่งถึงบ้าน!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81ztm-mlj06fu4p1j5a6,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2016371521969152""",ชา,"=""2036011307360256""",ชาลิ้นจี่,26,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาลิ้นจี่หวานหอม, เพลิดเพลินกับทุกช่วงเวลา, สั่งง่ายผ่านแอพ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81ztn-mljb5jrhan0j4e,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2016371521969152""",ชา,"=""2036011953496576""",ชามะนาว,34,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชามะนาวสดชื่น, รสชาติคมชัด, จัดส่งไวเพื่อความเย็นฉ่ำ!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2688610151785472,https://mms.img.susercontent.com/th-11134505-81ztk-mljbz8b7iolr1c,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2016371521969152""",ชา,"=""2036013205692416""",ชาแอปเปิ้ล,26,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาแอปเปิ้ลหวานหอม, เติมความสุขให้วันของคุณ, สั่งเลย!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81ztg-mljayrvxo7bcd0,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2016371521969152""",ชา,"=""2036013836541952""",ชาเสาวรส,26,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาเสาวรสตรงจากผลไม้สด, หอมหวานละมุน, พร้อมส่ง!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81zti-mljca4bw2x37ed,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2016371521969152""",ชา,"=""2036014408409600""",ชาบลูเบอร์รี่,26,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"ชาบลูเบอร์รี่ซ่า, รสชาติเข้มข้น, สดชื่นทุกคำ, ส่งเร็ว!",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-81ztd-mlj0co6uozk2d1,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2534313640368128""",มัทฉะแท้,"=""2534314857043968""",มัทฉะลาเต้ (Matcha Latte),65,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,มัทฉะแท้เข้มข้น 100% จากใบชาเขียวคุณภาพ ตีสดใหม่ทุกแก้ว ราดบนนมสดเย็นจัด ให้เลเยอร์สีสวย ดื่มแล้วสดชื่น หอมละมุน ไม่หวานเลี่ยน เหมาะทั้งสายชาเขียวแท้และคนรักสุขภาพ,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2619418001578496#2625496126904832#2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-7rasm-m9pcvoxq4lbl49,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2534313640368128""",มัทฉะแท้,"=""2534590891660800""",มัทฉะครีมชีส (Matcha Cheese Tea),68,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,ชาเขียวมัทฉะแท้ ตีสดใหม่ ราดลงบนเครื่องดื่มเย็นผสมนมสูตรพิเศษ ท็อปด้วยโฟมชีสหอมมันนุ่มฟู รสชาติเข้มข้นแต่กลมกล่อม หวานน้อย เค็มนิด ดื่มเพลินไม่มีเบื่อ,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2625496126904832,https://mms.img.susercontent.com/th-11134505-7rash-m9pcw5odmo9b75,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2534313640368128""",มัทฉะแท้,"=""2534623812442112""",เพียวมัทฉะ (Pure Matcha),42,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,มัทฉะแท้ 100% ชงเข้มข้นแบบไม่เติมนม ไม่แต่งกลิ่น ไม่ใส่ครีม หอม ละมุน ดื่มแล้วสดชื่นเต็มรสชา เหมาะสำหรับสายมัทฉะล้วน หรือคนที่ต้องการลดหวาน-ลดมันโดยไม่ลดคุณภาพ,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2625496126904832,https://mms.img.susercontent.com/th-11134505-7rasb-m9pdgkioa25ca5,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2534313640368128""",มัทฉะแท้,"=""2534835210999808""",มัทฉะบราวน์ชูการ์ไข่มุก (Matcha Brown Sugar Boba),64,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,"มัทฉะบราวน์ชูการ์ไข่มุก
ความลงตัวของชาเขียวมัทฉะเข้มข้นกับความหอมหวานของซอสบราวน์ชูการ์ เสิร์ฟพร้อมไข่มุกหนึบหนับ เคี้ยวเพลิน นมสดหอมมันตัดรสได้พอดี เพิ่มความสดชื่นในทุกแก้ว",ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2619418001578496#2625496126904832#2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-7rasm-m9pd00gyitsw71,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2534313640368128""",มัทฉะแท้,"=""2568233223560192""",มัทฉะมะพร้าว,75,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,ชาเขียวมัทฉะเข้มข้น ผสมกับน้ำมะพร้าวหอมสดชื่นแบบไม่ใส่นม รสชาติกลมกล่อม สดชื่นจากธรรมชาติ ดื่มแล้วรู้สึกเบา สบาย เหมาะกับสายสุขภาพหรือคนที่ไม่อยากดื่มนม,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2001824253843968#2025913542009344#2025914426139136#2625496126904832,https://mms.img.susercontent.com/th-11134505-7rasa-m9pjawt55bld9b,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2534313640368128""",มัทฉะแท้,"=""2568243239148032""",มัทฉะมะพร้าวนม,64,แสดงเมนู,พร้อมจำหน่าย,ไม่จำกัด,,,,ชาเขียวมัทฉะเข้มข้นผสมนมสด หอมกลิ่นใบชาแท้ ตัดกับน้ำมะพร้าวใสให้ความสดชื่น ดื่มแล้วเบาสบาย ไม่เลี่ยน เหมาะกับคนรักมัทฉะที่อยากได้ความหอมมันแบบกลมกล่อม ไม่หนักนมจนเกินไป,ตลอดทั้งวัน,"=""วันจันทร์,วันอังคาร,วันพุธ,วันพฤหัสบดี,วันศุกร์,วันเสาร์,วันอาทิตย์""",00:00-23:59,2619418001578496#2625496126904832#2001824253843968#2025913542009344#2025914426139136,https://mms.img.susercontent.com/th-11134505-7rasi-m9pjnvfyaar542,
