เมนู CODE,ชื่อเมนู,ชื่อกลุ่มตัวเลือก,ชื่อตัวเลือก,ส่วนผสม-1,การใช้-1,หน่วย-1
,ชาพีช,ความหวาน,หวานปกติ 100%,,,
,ชาพีช,ความหวาน,หวานมาก 125%,,,
,ชาพีช,ความหวาน,หวานมาก 150%,,,
,ชาพีช,ความหวาน,หวานมาก 200%,,,
,ชาพีช,ความหวาน,หวานน้อยมาก 25%,,,
,ชาพีช,ความหวาน,หวานน้อย 50%,,,
,ชาพีช,ท้อปปิ้ง,ชีส,,,
,ชาพีช,ท้อปปิ้ง,ไข่มุก,,,
,ชาพีช,ท้อปปิ้ง,ช็อคขูด,,,
,ชาพีช,ท้อปปิ้ง,ไม่เพิ่ม,,,
,ชาพีช,ท้อปปิ้ง,ซอสบราวน์,,,
,ชาพีช,ท้อปปิ้ง,บุกน้ำตาล,,,
,ชาพีช,ท้อปปิ้ง,บุกบราวน์,,,
,ชาพีช,ท้อปปิ้ง,บุกน้ำผึ้ง,,,
,ชาพีช,ท้อปปิ้ง,เจลลี่ผลไม้,,,
,ชาพีช,ท้อปปิ้ง,วุ้นกบไต้หวัน,,,
,ชาพีช,ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,,,
,ชาพีช,ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,,,
,ชาพีช,แยกน้ำแข็ง,แยกน้ำแข็ง,,,
,ชาไทย (เย็น/ปั่น),ประเภท,เย็น,,,
,ชาไทย (เย็น/ปั่น),ประเภท,ปั่น (สูตรเข้ม),,,
,ชาไทย (เย็น/ปั่น),ความหวาน,ไม่หวาน  0%,,,
,ชาไทย (เย็น/ปั่น),ความหวาน,หวานปกติ 100%,,,
,ชาไทย (เย็น/ปั่น),ความหวาน,หวานมาก 125%,,,
,ชาไทย (เย็น/ปั่น),ความหวาน,หวานมาก 150%,,,
,ชาไทย (เย็น/ปั่น),ความหวาน,หวานมาก 200%,,,
,ชาไทย (เย็น/ปั่น),ความหวาน,หวานน้อยมาก 25%,,,
,ชาไทย (เย็น/ปั่น),ความหวาน,หวานน้อย 50%,,,
,ชาไทย (เย็น/ปั่น),ท้อปปิ้ง,ชีส,,,
,ชาไทย (เย็น/ปั่น),ท้อปปิ้ง,ไข่มุก,,,
,ชาไทย (เย็น/ปั่น),ท้อปปิ้ง,ช็อคขูด,,,
,ชาไทย (เย็น/ปั่น),ท้อปปิ้ง,ไม่เพิ่ม,,,
,ชาไทย (เย็น/ปั่น),ท้อปปิ้ง,ซอสบราวน์,,,
,ชาไทย (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำตาล,,,
,ชาไทย (เย็น/ปั่น),ท้อปปิ้ง,บุกบราวน์,,,
,ชาไทย (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำผึ้ง,,,
,ชาไทย (เย็น/ปั่น),ท้อปปิ้ง,เจลลี่ผลไม้,,,
,ชาไทย (เย็น/ปั่น),ท้อปปิ้ง,วุ้นกบไต้หวัน,,,
,ชาไทย (เย็น/ปั่น),ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,,,
,ชาไทย (เย็น/ปั่น),ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,,,
,ชาไทย (เย็น/ปั่น),แยกน้ำแข็ง,แยกน้ำแข็ง,,,
,ลาเต้ (เย็น/ปั่น),ประเภท,เย็น,,,
,ลาเต้ (เย็น/ปั่น),ประเภท,ปั่น (สูตรเข้ม),,,
,ลาเต้ (เย็น/ปั่น),ความหวาน,ไม่หวาน  0%,,,
,ลาเต้ (เย็น/ปั่น),ความหวาน,หวานปกติ 100%,,,
,ลาเต้ (เย็น/ปั่น),ความหวาน,หวานมาก 125%,,,
,ลาเต้ (เย็น/ปั่น),ความหวาน,หวานมาก 150%,,,
,ลาเต้ (เย็น/ปั่น),ความหวาน,หวานมาก 200%,,,
,ลาเต้ (เย็น/ปั่น),ความหวาน,หวานน้อยมาก 25%,,,
,ลาเต้ (เย็น/ปั่น),ความหวาน,หวานน้อย 50%,,,
,ลาเต้ (เย็น/ปั่น),ท้อปปิ้ง,ชีส,,,
,ลาเต้ (เย็น/ปั่น),ท้อปปิ้ง,ไข่มุก,,,
,ลาเต้ (เย็น/ปั่น),ท้อปปิ้ง,ช็อคขูด,,,
,ลาเต้ (เย็น/ปั่น),ท้อปปิ้ง,ไม่เพิ่ม,,,
,ลาเต้ (เย็น/ปั่น),ท้อปปิ้ง,ซอสบราวน์,,,
,ลาเต้ (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำตาล,,,
,ลาเต้ (เย็น/ปั่น),ท้อปปิ้ง,บุกบราวน์,,,
,ลาเต้ (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำผึ้ง,,,
,ลาเต้ (เย็น/ปั่น),ท้อปปิ้ง,เจลลี่ผลไม้,,,
,ลาเต้ (เย็น/ปั่น),ท้อปปิ้ง,วุ้นกบไต้หวัน,,,
,ลาเต้ (เย็น/ปั่น),ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,,,
,ลาเต้ (เย็น/ปั่น),ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,,,
,ลาเต้ (เย็น/ปั่น),แยกน้ำแข็ง,แยกน้ำแข็ง,,,
,โกโก้ (เย็น/ปั่น),ประเภท,เย็น,,,
,โกโก้ (เย็น/ปั่น),ประเภท,ปั่น (สูตรเข้ม),,,
,โกโก้ (เย็น/ปั่น),ความหวาน,ไม่หวาน  0%,,,
,โกโก้ (เย็น/ปั่น),ความหวาน,หวานปกติ 100%,,,
,โกโก้ (เย็น/ปั่น),ความหวาน,หวานมาก 125%,,,
,โกโก้ (เย็น/ปั่น),ความหวาน,หวานมาก 150%,,,
,โกโก้ (เย็น/ปั่น),ความหวาน,หวานมาก 200%,,,
,โกโก้ (เย็น/ปั่น),ความหวาน,หวานน้อยมาก 25%,,,
,โกโก้ (เย็น/ปั่น),ความหวาน,หวานน้อย 50%,,,
,โกโก้ (เย็น/ปั่น),ท้อปปิ้ง,ชีส,,,
,โกโก้ (เย็น/ปั่น),ท้อปปิ้ง,ไข่มุก,,,
,โกโก้ (เย็น/ปั่น),ท้อปปิ้ง,ช็อคขูด,,,
,โกโก้ (เย็น/ปั่น),ท้อปปิ้ง,ไม่เพิ่ม,,,
,โกโก้ (เย็น/ปั่น),ท้อปปิ้ง,ซอสบราวน์,,,
,โกโก้ (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำตาล,,,
,โกโก้ (เย็น/ปั่น),ท้อปปิ้ง,บุกบราวน์,,,
,โกโก้ (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำผึ้ง,,,
,โกโก้ (เย็น/ปั่น),ท้อปปิ้ง,เจลลี่ผลไม้,,,
,โกโก้ (เย็น/ปั่น),ท้อปปิ้ง,วุ้นกบไต้หวัน,,,
,โกโก้ (เย็น/ปั่น),ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,,,
,โกโก้ (เย็น/ปั่น),ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,,,
,โกโก้ (เย็น/ปั่น),แยกน้ำแข็ง,แยกน้ำแข็ง,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ประเภท,เย็น,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ประเภท,ปั่น (สูตรเข้ม),,,
,โกปี๊ โบราณ (เย็น/ปั่น),ความหวาน,ไม่หวาน  0%,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ความหวาน,หวานปกติ 100%,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ความหวาน,หวานมาก 125%,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ความหวาน,หวานมาก 150%,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ความหวาน,หวานมาก 200%,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ความหวาน,หวานน้อยมาก 25%,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ความหวาน,หวานน้อย 50%,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ท้อปปิ้ง,ชีส,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ท้อปปิ้ง,ไข่มุก,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ท้อปปิ้ง,ช็อคขูด,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ท้อปปิ้ง,ไม่เพิ่ม,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ท้อปปิ้ง,ซอสบราวน์,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำตาล,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ท้อปปิ้ง,บุกบราวน์,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำผึ้ง,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ท้อปปิ้ง,เจลลี่ผลไม้,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ท้อปปิ้ง,วุ้นกบไต้หวัน,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,,,
,โกปี๊ โบราณ (เย็น/ปั่น),ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,,,
,โกปี๊ โบราณ (เย็น/ปั่น),แยกน้ำแข็ง,แยกน้ำแข็ง,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ความหวาน,ไม่หวาน  0%,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ความหวาน,หวานปกติ 100%,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ความหวาน,หวานมาก 125%,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ความหวาน,หวานมาก 150%,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ความหวาน,หวานมาก 200%,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ความหวาน,หวานน้อยมาก 25%,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ความหวาน,หวานน้อย 50%,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ท้อปปิ้ง,ชีส,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ท้อปปิ้ง,ไข่มุก,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ท้อปปิ้ง,ช็อคขูด,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ท้อปปิ้ง,ไม่เพิ่ม,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ท้อปปิ้ง,ซอสบราวน์,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำตาล,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ท้อปปิ้ง,บุกบราวน์,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำผึ้ง,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ท้อปปิ้ง,เจลลี่ผลไม้,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ท้อปปิ้ง,วุ้นกบไต้หวัน,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,,,
,โกปี๊ ยกล้อ (ใส่นม) (เย็น/ปั่น),แยกน้ำแข็ง,แยกน้ำแข็ง,,,
,นมชมพู (เย็น/ปั่น),ประเภท,เย็น,,,
,นมชมพู (เย็น/ปั่น),ประเภท,ปั่น (สูตรเข้ม),,,
,นมชมพู (เย็น/ปั่น),ความหวาน,ไม่หวาน  0%,,,
,นมชมพู (เย็น/ปั่น),ความหวาน,หวานปกติ 100%,,,
,นมชมพู (เย็น/ปั่น),ความหวาน,หวานมาก 125%,,,
,นมชมพู (เย็น/ปั่น),ความหวาน,หวานมาก 150%,,,
,นมชมพู (เย็น/ปั่น),ความหวาน,หวานมาก 200%,,,
,นมชมพู (เย็น/ปั่น),ความหวาน,หวานน้อยมาก 25%,,,
,นมชมพู (เย็น/ปั่น),ความหวาน,หวานน้อย 50%,,,
,นมชมพู (เย็น/ปั่น),ท้อปปิ้ง,ชีส,,,
,นมชมพู (เย็น/ปั่น),ท้อปปิ้ง,ไข่มุก,,,
,นมชมพู (เย็น/ปั่น),ท้อปปิ้ง,ช็อคขูด,,,
,นมชมพู (เย็น/ปั่น),ท้อปปิ้ง,ไม่เพิ่ม,,,
,นมชมพู (เย็น/ปั่น),ท้อปปิ้ง,ซอสบราวน์,,,
,นมชมพู (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำตาล,,,
,นมชมพู (เย็น/ปั่น),ท้อปปิ้ง,บุกบราวน์,,,
,นมชมพู (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำผึ้ง,,,
,นมชมพู (เย็น/ปั่น),ท้อปปิ้ง,เจลลี่ผลไม้,,,
,นมชมพู (เย็น/ปั่น),ท้อปปิ้ง,วุ้นกบไต้หวัน,,,
,นมชมพู (เย็น/ปั่น),ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,,,
,นมชมพู (เย็น/ปั่น),ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,,,
,นมชมพู (เย็น/ปั่น),แยกน้ำแข็ง,แยกน้ำแข็ง,,,
,นมมรกต (เย็น/ปั่น),ประเภท,เย็น,,,
,นมมรกต (เย็น/ปั่น),ประเภท,ปั่น (สูตรเข้ม),,,
,นมมรกต (เย็น/ปั่น),ความหวาน,ไม่หวาน  0%,,,
,นมมรกต (เย็น/ปั่น),ความหวาน,หวานปกติ 100%,,,
,นมมรกต (เย็น/ปั่น),ความหวาน,หวานมาก 125%,,,
,นมมรกต (เย็น/ปั่น),ความหวาน,หวานมาก 150%,,,
,นมมรกต (เย็น/ปั่น),ความหวาน,หวานมาก 200%,,,
,นมมรกต (เย็น/ปั่น),ความหวาน,หวานน้อยมาก 25%,,,
,นมมรกต (เย็น/ปั่น),ความหวาน,หวานน้อย 50%,,,
,นมมรกต (เย็น/ปั่น),ท้อปปิ้ง,ชีส,,,
,นมมรกต (เย็น/ปั่น),ท้อปปิ้ง,ไข่มุก,,,
,นมมรกต (เย็น/ปั่น),ท้อปปิ้ง,ช็อคขูด,,,
,นมมรกต (เย็น/ปั่น),ท้อปปิ้ง,ไม่เพิ่ม,,,
,นมมรกต (เย็น/ปั่น),ท้อปปิ้ง,ซอสบราวน์,,,
,นมมรกต (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำตาล,,,
,นมมรกต (เย็น/ปั่น),ท้อปปิ้ง,บุกบราวน์,,,
,นมมรกต (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำผึ้ง,,,
,นมมรกต (เย็น/ปั่น),ท้อปปิ้ง,เจลลี่ผลไม้,,,
,นมมรกต (เย็น/ปั่น),ท้อปปิ้ง,วุ้นกบไต้หวัน,,,
,นมมรกต (เย็น/ปั่น),ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,,,
,นมมรกต (เย็น/ปั่น),ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,,,
,นมมรกต (เย็น/ปั่น),แยกน้ำแข็ง,แยกน้ำแข็ง,,,
,มอคค่า (เย็น/ปั่น),ประเภท,เย็น,,,
,มอคค่า (เย็น/ปั่น),ประเภท,ปั่น (สูตรเข้ม),,,
,มอคค่า (เย็น/ปั่น),ความหวาน,ไม่หวาน  0%,,,
,มอคค่า (เย็น/ปั่น),ความหวาน,หวานปกติ 100%,,,
,มอคค่า (เย็น/ปั่น),ความหวาน,หวานมาก 125%,,,
,มอคค่า (เย็น/ปั่น),ความหวาน,หวานมาก 150%,,,
,มอคค่า (เย็น/ปั่น),ความหวาน,หวานมาก 200%,,,
,มอคค่า (เย็น/ปั่น),ความหวาน,หวานน้อยมาก 25%,,,
,มอคค่า (เย็น/ปั่น),ความหวาน,หวานน้อย 50%,,,
,มอคค่า (เย็น/ปั่น),ท้อปปิ้ง,ชีส,,,
,มอคค่า (เย็น/ปั่น),ท้อปปิ้ง,ไข่มุก,,,
,มอคค่า (เย็น/ปั่น),ท้อปปิ้ง,ช็อคขูด,,,
,มอคค่า (เย็น/ปั่น),ท้อปปิ้ง,ไม่เพิ่ม,,,
,มอคค่า (เย็น/ปั่น),ท้อปปิ้ง,ซอสบราวน์,,,
,มอคค่า (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำตาล,,,
,มอคค่า (เย็น/ปั่น),ท้อปปิ้ง,บุกบราวน์,,,
,มอคค่า (เย็น/ปั่น),ท้อปปิ้ง,บุกน้ำผึ้ง,,,
,มอคค่า (เย็น/ปั่น),ท้อปปิ้ง,เจลลี่ผลไม้,,,
,มอคค่า (เย็น/ปั่น),ท้อปปิ้ง,วุ้นกบไต้หวัน,,,
,มอคค่า (เย็น/ปั่น),ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,,,
,มอคค่า (เย็น/ปั่น),ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,,,
,มอคค่า (เย็น/ปั่น),แยกน้ำแข็ง,แยกน้ำแข็ง,,,
,กาแฟสด เผือกลาเต้ร้อน,ความหวาน,ไม่หวาน  0%,,,
,กาแฟสด เผือกลาเต้ร้อน,ความหวาน,หวานปกติ 100%,,,
,กาแฟสด เผือกลาเต้ร้อน,ความหวาน,หวานมาก 125%,,,
,กาแฟสด เผือกลาเต้ร้อน,ความหวาน,หวานมาก 150%,,,
,กาแฟสด เผือกลาเต้ร้อน,ความหวาน,หวานมาก 200%,,,
,กาแฟสด เผือกลาเต้ร้อน,ความหวาน,หวานน้อยมาก 25%,,,
,กาแฟสด เผือกลาเต้ร้อน,ความหวาน,หวานน้อย 50%,,,
,กาแฟสด เผือกลาเต้ร้อน,ช็อตกาแฟ,ไม่เพิ่ม,,,
,กาแฟสด เผือกลาเต้ร้อน,ช็อตกาแฟ,เพิ่มช็อตกาแฟ 1 ช็อต,,,
,กาแฟสด เผือกลาเต้ร้อน,ช็อตกาแฟ,เพิ่มช็อตกาแฟ 2 ช็อต,,,
,กาแฟสด โกโก้มอคค่าร้อน,ความหวาน,ไม่หวาน  0%,,,
,กาแฟสด โกโก้มอคค่าร้อน,ความหวาน,หวานปกติ 100%,,,
,กาแฟสด โกโก้มอคค่าร้อน,ความหวาน,หวานมาก 125%,,,
,กาแฟสด โกโก้มอคค่าร้อน,ความหวาน,หวานมาก 150%,,,
,กาแฟสด โกโก้มอคค่าร้อน,ความหวาน,หวานมาก 200%,,,
,กาแฟสด โกโก้มอคค่าร้อน,ความหวาน,หวานน้อยมาก 25%,,,
,กาแฟสด โกโก้มอคค่าร้อน,ความหวาน,หวานน้อย 50%,,,
,กาแฟสด โกโก้มอคค่าร้อน,ช็อตกาแฟ,ไม่เพิ่ม,,,
,กาแฟสด โกโก้มอคค่าร้อน,ช็อตกาแฟ,เพิ่มช็อตกาแฟ 1 ช็อต,,,
,กาแฟสด โกโก้มอคค่าร้อน,ช็อตกาแฟ,เพิ่มช็อตกาแฟ 2 ช็อต,,,
,กาแฟสด มอคค่ามิ้นต์ร้อน,ความหวาน,ไม่หวาน  0%,,,
,กาแฟสด มอคค่ามิ้นต์ร้อน,ความหวาน,หวานปกติ 100%,,,
,กาแฟสด มอคค่ามิ้นต์ร้อน,ความหวาน,หวานมาก 125%,,,
,กาแฟสด มอคค่ามิ้นต์ร้อน,ความหวาน,หวานมาก 150%,,,
,กาแฟสด มอคค่ามิ้นต์ร้อน,ความหวาน,หวานมาก 200%,,,
,กาแฟสด มอคค่ามิ้นต์ร้อน,ความหวาน,หวานน้อยมาก 25%,,,
,กาแฟสด มอคค่ามิ้นต์ร้อน,ความหวาน,หวานน้อย 50%,,,
,กาแฟสด มอคค่ามิ้นต์ร้อน,ช็อตกาแฟ,ไม่เพิ่ม,,,
,กาแฟสด มอคค่ามิ้นต์ร้อน,ช็อตกาแฟ,เพิ่มช็อตกาแฟ 1 ช็อต,,,
,กาแฟสด มอคค่ามิ้นต์ร้อน,ช็อตกาแฟ,เพิ่มช็อตกาแฟ 2 ช็อต,,,
,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,ความหวาน,ไม่หวาน  0%,,,
,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,ความหวาน,หวานปกติ 100%,,,
,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,ความหวาน,หวานมาก 125%,,,
,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,ความหวาน,หวานมาก 150%,,,
,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,ความหวาน,หวานมาก 200%,,,
,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,ความหวาน,หวานน้อยมาก 25%,,,
,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,ความหวาน,หวานน้อย 50%,,,
,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,ช็อตกาแฟ,ไม่เพิ่ม,,,
,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,ช็อตกาแฟ,เพิ่มช็อตกาแฟ 1 ช็อต,,,
,กาแฟสด โอวัลตินเอสเปรสโซ่ร้อน,ช็อตกาแฟ,เพิ่มช็อตกาแฟ 2 ช็อต,,,
,ชามะนาว,ความหวาน,ไม่หวาน  0%,,,
,ชามะนาว,ความหวาน,หวานปกติ 100%,,,
,ชามะนาว,ความหวาน,หวานมาก 125%,,,
,ชามะนาว,ความหวาน,หวานมาก 150%,,,
,ชามะนาว,ความหวาน,หวานมาก 200%,,,
,ชามะนาว,ความหวาน,หวานน้อยมาก 25%,,,
,ชามะนาว,ความหวาน,หวานน้อย 50%,,,
,ชามะนาว,ท้อปปิ้ง,ชีส,,,
,ชามะนาว,ท้อปปิ้ง,ไข่มุก,,,
,ชามะนาว,ท้อปปิ้ง,ช็อคขูด,,,
,ชามะนาว,ท้อปปิ้ง,ไม่เพิ่ม,,,
,ชามะนาว,ท้อปปิ้ง,ซอสบราวน์,,,
,ชามะนาว,ท้อปปิ้ง,บุกน้ำตาล,,,
,ชามะนาว,ท้อปปิ้ง,บุกบราวน์,,,
,ชามะนาว,ท้อปปิ้ง,บุกน้ำผึ้ง,,,
,ชามะนาว,ท้อปปิ้ง,เจลลี่ผลไม้,,,
,ชามะนาว,ท้อปปิ้ง,วุ้นกบไต้หวัน,,,
,ชามะนาว,ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,,,
,ชามะนาว,ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,,,
,ชามะนาว,ช็อตมะนาว,ไม่เพิ่ม,,,
,ชามะนาว,ช็อตมะนาว,เพิ่ม 1 ช็อต,,,
,ชามะนาว,แยกน้ำแข็ง,แยกน้ำแข็ง,,,
,แดงโซดา,ความหวาน,ไม่หวาน  0%,,,
,แดงโซดา,ความหวาน,หวานปกติ 100%,,,
,แดงโซดา,ความหวาน,หวานมาก 125%,,,
,แดงโซดา,ความหวาน,หวานมาก 150%,,,
,แดงโซดา,ความหวาน,หวานมาก 200%,,,
,แดงโซดา,ความหวาน,หวานน้อยมาก 25%,,,
,แดงโซดา,ความหวาน,หวานน้อย 50%,,,
,แดงโซดา,ท้อปปิ้ง,ชีส,,,
,แดงโซดา,ท้อปปิ้ง,ไข่มุก,,,
,แดงโซดา,ท้อปปิ้ง,ช็อคขูด,,,
,แดงโซดา,ท้อปปิ้ง,ไม่เพิ่ม,,,
,แดงโซดา,ท้อปปิ้ง,ซอสบราวน์,,,
,แดงโซดา,ท้อปปิ้ง,บุกน้ำตาล,,,
,แดงโซดา,ท้อปปิ้ง,บุกบราวน์,,,
,แดงโซดา,ท้อปปิ้ง,บุกน้ำผึ้ง,,,
,แดงโซดา,ท้อปปิ้ง,เจลลี่ผลไม้,,,
,แดงโซดา,ท้อปปิ้ง,วุ้นกบไต้หวัน,,,
,แดงโซดา,ท้อปปิ้ง,วุ้นว่านหางจระเข้ หั่นลูกเต๋า,,,
,แดงโซดา,ท้อปปิ้ง,เฉาก๊วยหนึบเนื้อแน่น,,,
,แดงโซดา,แยกน้ำแข็ง,แยกน้ำแข็ง,,,
,ชานมชีส (เย็น/ปั่น),ประเภท,เย็น,,,
,ชานมชีส (เย็น/ปั่น),ประเภท,ปั่น (สูตรเข้ม),,,
,ชานมชีส (เย็น/ปั่น),ความหวาน,ไม่หวาน  0%,,,
,ชานมชีส (เย็น/ปั่น),ความหวาน,หวานปกติ 100%,,,
,ชานมชีส (เย็น/ปั่น),ความหวาน,หวานมาก 125%,,,
,ชานมชีส (เย็น/ปั่น),ความหวาน,หวานมาก 150%,,,
,ชานมชีส (เย็น/ปั่น),ความหวาน,หวานมาก 200%,,,
,ชานมชีส (เย็น/ปั่น),ความหวาน,หวานน้อยมาก 25%,,,
,ชานมชีส (เย็น/ปั่น),ความหวาน,หวานน้อย 50%,,,
,ชานมชีส (เย็น/ปั่น),ท้อปปิ้ง,ชีส,,,
,ชานมชีส (เย็น/ปั่น),ท้อปปิ้ง,ไข่มุก,,,
,ชานมชีส (เย็น/ปั่น),ท้อปปิ้ง,ช็อคขูด,,,
